RNA,Compartment,Count,AveragePrecision,ROCAUC,MatthewsCorrCoef,F1Score,Precision,Recall,Accuracy
lncRNA,Nucleus,165.0,0.2976900986058685,0.5223905723905724,0.07736669678948219,0.28668941979522183,0.328125,0.2545454545454545,0.669826224328594
lncRNA,Exosome,615.0,0.9841096542640768,0.6470641373080398,0.09696044820669003,0.7592407592407593,0.9844559585492227,0.6178861788617886,0.6192733017377567
lncRNA,Cytosol,46.0,0.10528686977901527,0.6395081845789201,0.15141772480874344,0.19825072886297376,0.11447811447811448,0.7391304347826086,0.5655608214849921
lncRNA,Cytoplasm,18.0,0.06239672617934848,0.6053297199638663,0.12658255318609374,0.09523809523809525,0.3333333333333333,0.05555555555555555,0.9699842022116903
lncRNA,Ribosome,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
lncRNA,Membrane,23.0,0.09435431782474576,0.6982181040627228,0.1773459316124847,0.20253164556962025,0.14285714285714285,0.34782608695652173,0.9004739336492891
lncRNA,Endoplasmic reticulum,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
lncRNA,Microvesicle,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
lncRNA,Mitochondrion,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
lncRNA,micro,849.0,0.9007375665880706,0.9246514896068003,0.30550576231404086,0.688783570300158,0.688783570300158,0.688783570300158,0.688783570300158
lncRNA,macro,849.0,0.3703602351184266,0.6267952495850638,0.1574183386508735,0.3616781383671438,0.39247905397112,0.48984703878659336,0.9312796208530805
miRNA,Nucleus,95.0,0.34107983252484014,0.486085075702956,0.21634378301997587,0.272,0.5666666666666667,0.17894736842105263,0.7648578811369509
miRNA,Exosome,321.0,0.754040362911622,0.35759463796846974,0.05900005649808404,0.8823529411764707,0.8356545961002786,0.9345794392523364,0.7932816537467701
miRNA,Cytosol,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
miRNA,Cytoplasm,47.0,0.10237222175181075,0.32471839799749685,0.0,0.2165898617511521,0.12144702842377261,1.0,0.12144702842377261
miRNA,Ribosome,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
miRNA,Membrane,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
miRNA,Endoplasmic reticulum,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
miRNA,Microvesicle,294.0,0.7251789552351837,0.5125448028673836,0.049712181810982345,0.020202020202020204,1.0,0.01020408163265306,0.24806201550387597
miRNA,Mitochondrion,5.0,0.048987604470640454,0.8523560209424084,0.0,0.025510204081632654,0.012919896640826873,1.0,0.012919896640826873
miRNA,micro,710.0,0.6678507172919707,0.521364104806221,0.29997997434317164,0.6020671834625323,0.6020671834625323,0.6020671834625323,0.6020671834625323
miRNA,macro,710.0,0.6067663835572153,0.4520748388462698,0.10835200710968075,0.39151832045949697,0.8007737542556485,0.374576963102014,0.6468561584840654
snRNA,Nucleus,2.0,1.0,1.0,0.0,0.6666666666666666,0.5,1.0,0.5
snRNA,Exosome,4.0,NAN,NAN,0.0,1.0,1.0,1.0,1.0
snRNA,Cytosol,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
snRNA,Cytoplasm,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
snRNA,Ribosome,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
snRNA,Membrane,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
snRNA,Endoplasmic reticulum,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
snRNA,Microvesicle,4.0,NAN,NAN,0.0,1.0,1.0,1.0,1.0
snRNA,Mitochondrion,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
snRNA,micro,0.0,NAN,NAN,NAN,NAN,NAN,NAN,NAN
snRNA,macro,0.0,NAN,NAN,NAN,NAN,NAN,NAN,NAN
snoRNA,Nucleus,22.0,0.13617973868836317,0.07125307125307125,0.0,0.37288135593220334,0.22916666666666666,1.0,0.22916666666666666
snoRNA,Exosome,96.0,NAN,NAN,0.0,1.0,1.0,1.0,1.0
snoRNA,Cytosol,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
snoRNA,Cytoplasm,8.0,0.05268824179334764,0.13068181818181818,0.0,0.15384615384615385,0.08333333333333333,1.0,0.08333333333333333
snoRNA,Ribosome,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
snoRNA,Membrane,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
snoRNA,Endoplasmic reticulum,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
snoRNA,Microvesicle,96.0,NAN,NAN,0.0,1.0,1.0,1.0,1.0
snoRNA,Mitochondrion,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
snoRNA,micro,192.0,1.0,NAN,0.0,1.0,1.0,1.0,1.0
snoRNA,macro,192.0,1.0,NAN,0.0,1.0,1.0,1.0,1.15625
mRNA,Nucleus,2390.0,0.7747729857379168,0.6282549154438759,0.18450697899931218,0.6539391010149831,0.7740274599542334,0.5661087866108787,0.586962792039227
mRNA,Exosome,3439.0,0.9958861451185694,0.6754091721015245,0.058750998242984735,0.9481526531853428,0.9936265137029955,0.9066589124745565,0.9016440726853188
mRNA,Cytosol,469.0,0.19679728739433663,0.6475674614632926,0.1552405797849823,0.2994535519125683,0.20132255694342396,0.5842217484008528,0.6302278627055091
mRNA,Cytoplasm,1935.0,0.6648170794363524,0.631102880158682,0.20012684931775454,0.6294906166219839,0.6540389972144847,0.60671834625323,0.601384482261321
mRNA,Ribosome,1048.0,0.3472641357897169,0.5426060071507689,0.0659511254568401,0.3275332650972364,0.35320088300220753,0.3053435114503817,0.6209979809633689
mRNA,Membrane,650.0,0.3304558322514276,0.6899440211900275,0.23580797592862832,0.4046511627906976,0.3252336448598131,0.5353846153846153,0.7046437842515143
mRNA,Endoplasmic reticulum,399.0,0.1166386667591203,0.5058964229347815,0.010807874070831253,0.2031767041694242,0.11704155547083492,0.7694235588972431,0.30545139890395157
mRNA,Microvesicle,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
mRNA,Mitochondrion,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
mRNA,micro,8395.0,0.8627216180810999,0.868395634215406,0.2634097753174475,0.624987981924815,0.624987981924815,0.624987981924815,0.624987981924815
mRNA,macro,8395.0,0.460302508841848,0.6149463333807118,0.15186539696688892,0.4728177396950421,0.4607421023222514,0.6111901888697547,0.7252187289683683
