RNA,Compartment,Count,AveragePrecision,ROCAUC,MatthewsCorrCoef,F1Score,Precision,Recall,Accuracy
lncRNA,Nucleus,165.0,0.25866479591667413,0.4812095312095312,0.04347628300930096,0.02366863905325444,0.5,0.012121212121212121,0.7393364928909952
lncRNA,Exosome,615.0,0.9891061142236992,0.7226738934056007,0.11603167641376261,0.7941747572815534,0.9855421686746988,0.6650406504065041,0.665086887835703
lncRNA,Cytosol,46.0,0.10017635080103779,0.5542922746463225,0.06823664370303198,0.15267175572519084,0.11764705882352941,0.21739130434782608,0.8246445497630331
lncRNA,Cytoplasm,18.0,0.043852533485536624,0.45257452574525736,0.12658255318609374,0.09523809523809525,0.3333333333333333,0.05555555555555555,0.9699842022116903
lncRNA,Ribosome,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
lncRNA,Membrane,23.0,0.0436018546725518,0.5308624376336422,0.047700357132263595,0.07763401109057301,0.04054054054054054,0.9130434782608695,0.21169036334913113
lncRNA,Endoplasmic reticulum,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
lncRNA,Microvesicle,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
lncRNA,Mitochondrion,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
lncRNA,micro,849.0,0.8976277910440228,0.91695168269685,0.16934385773562305,0.6101895734597157,0.6101895734597157,0.6101895734597157,0.6101895734597157
lncRNA,macro,849.0,0.34788727890349075,0.5722595342237742,0.10050687836111322,0.26203729078764293,0.4109324420096922,0.4518991612841029,0.8526856240126381
miRNA,Nucleus,95.0,0.1761359157439961,0.32299927901946646,0.026138113680442544,0.375,0.25274725274725274,0.7263157894736842,0.40568475452196384
miRNA,Exosome,321.0,0.9177205266803157,0.6495091097894836,0.08280739166606377,0.888888888888889,0.837465564738292,0.9470404984423676,0.8036175710594315
miRNA,Cytosol,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
miRNA,Cytoplasm,47.0,0.14060878859503378,0.27640801001251564,0.14543280299250388,0.11320754716981131,0.5,0.06382978723404255,0.8785529715762274
