RNA,Compartment,Count,AveragePrecision,ROCAUC,MatthewsCorrCoef,F1Score,Precision,Recall,Accuracy
lncRNA,Nucleus,165.0,0.2529244082169185,0.5017871017871018,0.0898965431679402,0.4221364221364221,0.2679738562091503,0.9939393939393939,0.29067930489731436
lncRNA,Exosome,615.0,0.9894756849088515,0.7583559168925023,0.18592619855263606,0.9514237855946398,0.9810017271157168,0.9235772357723577,0.9083728278041074
lncRNA,Cytosol,46.0,0.10545154040427296,0.5892896822457596,0.07997784627714319,0.1683168316831683,0.10897435897435898,0.3695652173913043,0.7345971563981043
lncRNA,Cytoplasm,18.0,0.025929394675492934,0.44724480578139114,0.01673557157128138,0.0558139534883721,0.028708133971291867,1.0,0.037914691943127965
lncRNA,Ribosome,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
lncRNA,Membrane,23.0,0.04078769062540466,0.536208125445474,0.03598707663443664,0.07881773399014778,0.04177545691906005,0.6956521739130435,0.40916271721958924
lncRNA,Endoplasmic reticulum,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
lncRNA,Microvesicle,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
lncRNA,Mitochondrion,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
lncRNA,micro,849.0,0.9012674858460824,0.9229522411812996,0.332532843697941,0.5857030015797788,0.5857030015797788,0.5857030015797788,0.5857030015797788
lncRNA,macro,849.0,0.34715983103886194,0.5964102065927095,0.10213080905085935,0.4051736933510945,0.3499313498045715,0.7456835052540248,0.5951816745655608
miRNA,Nucleus,95.0,0.8722172552760635,0.9700432588320115,0.8942505769528558,0.92,0.8761904761904762,0.968421052631579,0.958656330749354
miRNA,Exosome,321.0,0.9868712765836632,0.930048145001416,0.7382775781518038,0.9335548172757475,1.0,0.8753894080996885,0.896640826873385
miRNA,Cytosol,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
miRNA,Cytoplasm,47.0,0.44157530295695613,0.8935544430538173,0.5544914341724011,0.5679012345679012,0.4,0.9787234042553191,0.8191214470284238
miRNA,Ribosome,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
miRNA,Membrane,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
miRNA,Endoplasmic reticulum,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
miRNA,Microvesicle,294.0,0.9888151133486328,0.9626216077828981,0.8713181199923129,0.965034965034965,0.9928057553956835,0.9387755102040817,0.9483204134366925
miRNA,Mitochondrion,5.0,0.010793063094341415,0.3157068062827225,0.0,0.025510204081632654,0.012919896640826873,1.0,0.012919896640826873
miRNA,micro,710.0,0.9667400292631383,0.9446644389619312,0.8676506269478472,0.9345391903531438,0.9345391903531438,0.9345391903531438,0.9345391903531438
miRNA,macro,710.0,0.9493012150694532,0.9542376705387752,1.0194459030897913,0.9395299274369041,0.9563320771953866,0.9275286569784497,1.211886304909561
snRNA,Nucleus,2.0,1.0,1.0,0.5773502691896258,0.8,0.6666666666666666,1.0,0.75
snRNA,Exosome,4.0,NAN,NAN,0.0,1.0,1.0,1.0,1.0
snRNA,Cytosol,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
snRNA,Cytoplasm,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
snRNA,Ribosome,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
snRNA,Membrane,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
snRNA,Endoplasmic reticulum,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
