RNA,Count,Compartment,AveragePrecision,ROCAUC,MatthewsCorrCoef,F1Score,Precision,Recall,Accuracy
lncRNA,165.0,Nucleus,0.270996090195932,0.5471121471121471,0.11924378606295202,0.425531914893617,0.3007518796992481,0.7272727272727273,0.4881516587677725
lncRNA,615.0,Exosome,0.9903253362114378,0.7606142728093948,0.16715942370239062,0.9012345679012346,0.9845857418111753,0.8308943089430895,0.8230647709320695
lncRNA,46.0,Cytosol,0.1114621333584399,0.6002518331975409,0.13988320082038552,0.19931271477663232,0.11836734693877551,0.6304347826086957,0.631911532385466
lncRNA,18.0,Cytoplasm,0.028585280669093986,0.46449864498644977,0.0,0.05529953917050691,0.02843601895734597,1.0,0.02843601895734597
lncRNA,0.0,Ribosome,NAN,NAN,NAN,NAN,NAN,NAN,NAN
lncRNA,23.0,Membrane,0.04242703490718651,0.5405559515324305,0.03332263273731475,0.07615230460921843,0.03991596638655462,0.8260869565217391,0.2717219589257504
lncRNA,0.0,Endoplasmic reticulum,NAN,NAN,NAN,NAN,NAN,NAN,NAN
lncRNA,0.0,Microvesicle,NAN,NAN,NAN,NAN,NAN,NAN,NAN
lncRNA,0.0,Mitochondrion,NAN,NAN,NAN,NAN,NAN,NAN,NAN
lncRNA,NAN,micro,0.8908293065364756,0.925160838922166,0.059727104376104186,0.4015797788309637,0.4015797788309637,0.4015797788309637,0.4015797788309637
lncRNA,NAN,macro,0.28875917506841803,0.5826065699275926,0.09192180866460857,0.3303001375923006,0.29369518010374185,0.8377203637649024,0.44865718799368093
miRNA,95.0,Nucleus,0.8809653233378372,0.9670511896178803,0.9092694393019192,0.9306930693069306,0.8785046728971962,0.9894736842105263,0.9638242894056848
miRNA,321.0,Exosome,0.9874503770265204,0.9328330029264609,0.7335109110410685,0.9317803660565723,1.0,0.8722741433021807,0.8940568475452196
miRNA,0.0,Cytosol,NAN,NAN,NAN,NAN,NAN,NAN,NAN
miRNA,47.0,Cytoplasm,0.38395643987576655,0.8842928660826033,0.587615908764978,0.6013071895424836,0.4339622641509434,0.9787234042553191,0.8423772609819121
miRNA,0.0,Ribosome,NAN,NAN,NAN,NAN,NAN,NAN,NAN
miRNA,0.0,Membrane,NAN,NAN,NAN,NAN,NAN,NAN,NAN
miRNA,0.0,Endoplasmic reticulum,NAN,NAN,NAN,NAN,NAN,NAN,NAN
miRNA,294.0,Microvesicle,0.9901011930701735,0.9662058371735791,0.8962973598458829,0.9721254355400697,0.9964285714285714,0.9489795918367347,0.958656330749354
miRNA,5.0,Mitochondrion,0.0149790990060882,0.500523560209424,0.0,0.025510204081632654,0.012919896640826873,1.0,0.012919896640826873
miRNA,NAN,micro,0.9741554584425327,0.9785461599908707,0.32676176068809265,0.5839793281653747,0.5839793281653747,0.5839793281653747,0.5839793281653747
miRNA,NAN,macro,0.6514904864632772,0.8501812912019895,0.6253387237907697,0.6114231748155288,0.5924391844572241,0.9635060280875754,0.7343669250645994
snRNA,2.0,Nucleus,0.5,0.25,0.0,0.6666666666666666,0.5,1.0,0.5
snRNA,4.0,Exosome,NAN,NAN,0.0,1.0,1.0,1.0,1.0
snRNA,0.0,Cytosol,NAN,NAN,NAN,NAN,NAN,NAN,NAN
snRNA,0.0,Cytoplasm,NAN,NAN,NAN,NAN,NAN,NAN,NAN
snRNA,0.0,Ribosome,NAN,NAN,NAN,NAN,NAN,NAN,NAN
snRNA,0.0,Membrane,NAN,NAN,NAN,NAN,NAN,NAN,NAN
snRNA,0.0,Endoplasmic reticulum,NAN,NAN,NAN,NAN,NAN,NAN,NAN
snRNA,4.0,Microvesicle,NAN,NAN,0.0,1.0,1.0,1.0,1.0
snRNA,0.0,Mitochondrion,NAN,NAN,NAN,NAN,NAN,NAN,NAN
snRNA,NAN,micro,0.8812626262626263,0.45,0.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334
snRNA,NAN,macro,0.8333333333333334,NAN,0.0,0.8888888888888888,0.8333333333333334,1.0,0.8333333333333334
snoRNA,22.0,Nucleus,0.25491333241018893,0.515970515970516,0.10237825517181291,0.2926829268292683,0.3157894736842105,0.2727272727272727,0.6979166666666666
