RNA,Compartment,Count,AveragePrecision,ROCAUC,MatthewsCorrCoef,F1Score,Precision,Recall,Accuracy
lncRNA,Nucleus,165.0,0.2914262638547921,0.5356902356902358,0.06380716432665867,0.3665158371040724,0.2924187725631769,0.4909090909090909,0.5576619273301737
lncRNA,Exosome,615.0,0.9854489756272158,0.6672990063233966,0.09712305033643955,0.8998242530755712,0.9789674952198852,0.832520325203252,0.8199052132701422
lncRNA,Cytosol,46.0,0.1197160372365415,0.5976964669283755,0.10248530903665377,0.10526315789473684,0.2727272727272727,0.06521739130434782,0.919431279620853
lncRNA,Cytoplasm,18.0,0.03539437059135909,0.48581752484191504,0.0364663390145138,0.059544658493870396,0.03074141048824593,0.9444444444444444,0.15165876777251186
lncRNA,Ribosome,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
lncRNA,Membrane,23.0,0.04301789219663274,0.5438346400570206,0.03415793560115267,0.07221350078492936,0.03745928338762215,1.0,0.06635071090047394
lncRNA,Endoplasmic reticulum,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
lncRNA,Microvesicle,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
lncRNA,Mitochondrion,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
lncRNA,micro,849.0,0.9020742191071378,0.9242392748940244,0.2381103361621414,0.5908372827804107,0.5908372827804107,0.5908372827804107,0.5908372827804107
lncRNA,macro,849.0,0.35990229222879555,0.5861300872497571,0.0835099495788546,0.36095418721482747,0.39539320597448924,0.5971617018541727,0.6287519747235387
miRNA,Nucleus,95.0,0.9468266108139248,0.984282624369142,0.9002754039560937,0.9246231155778896,0.8846153846153846,0.968421052631579,0.9612403100775194
miRNA,Exosome,321.0,0.6685489566323009,0.07552157084867366,0.0,0.9067796610169491,0.8294573643410853,1.0,0.8294573643410853
miRNA,Cytosol,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
miRNA,Cytoplasm,47.0,0.5757723774939829,0.9333541927409261,0.5855754534256549,0.6040268456375839,0.4411764705882353,0.9574468085106383,0.8475452196382429
miRNA,Ribosome,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
miRNA,Membrane,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
miRNA,Endoplasmic reticulum,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
miRNA,Microvesicle,294.0,0.9929824852581514,0.9749469680345255,0.902170314732841,0.9739130434782608,0.99644128113879,0.9523809523809523,0.9612403100775194
miRNA,Mitochondrion,5.0,0.02411609448031445,0.687434554973822,0.0,0.025510204081632654,0.012919896640826873,1.0,0.012919896640826873
miRNA,micro,710.0,0.769981434081074,0.8275631616751506,0.8270026243262304,0.917312661498708,0.917312661498708,0.917312661498708,0.917312661498708
miRNA,macro,710.0,0.8694526842347924,0.6782503877507805,0.7960070573715298,0.9351052733576998,0.9035046766984199,0.9736006683375104,1.2041343669250646
snRNA,Nucleus,2.0,1.0,1.0,0.0,0.6666666666666666,0.5,1.0,0.5
snRNA,Exosome,4.0,NAN,NAN,0.0,1.0,1.0,1.0,1.0
snRNA,Cytosol,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
snRNA,Cytoplasm,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
snRNA,Ribosome,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
snRNA,Membrane,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
snRNA,Endoplasmic reticulum,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
snRNA,Microvesicle,4.0,NAN,NAN,0.0,1.0,1.0,1.0,1.0
snRNA,Mitochondrion,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
snRNA,micro,0.0,NAN,NAN,NAN,NAN,NAN,NAN,NAN
snRNA,macro,0.0,NAN,NAN,NAN,NAN,NAN,NAN,NAN
snoRNA,Nucleus,22.0,0.21728167832608086,0.43243243243243246,0.0,0.37288135593220334,0.22916666666666666,1.0,0.22916666666666666
snoRNA,Exosome,96.0,NAN,NAN,0.0,1.0,1.0,1.0,1.0
snoRNA,Cytosol,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
snoRNA,Cytoplasm,8.0,0.1320854210019069,0.48295454545454547,0.0,0.15384615384615385,0.08333333333333333,1.0,0.08333333333333333
snoRNA,Ribosome,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
snoRNA,Membrane,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
snoRNA,Endoplasmic reticulum,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
snoRNA,Microvesicle,96.0,NAN,NAN,0.0,1.0,1.0,1.0,1.0
snoRNA,Mitochondrion,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
snoRNA,micro,192.0,1.0,NAN,0.0,1.0,1.0,1.0,1.0
snoRNA,macro,192.0,1.0,NAN,0.0,1.0,1.0,1.0,1.15625
mRNA,Nucleus,2390.0,0.8063704875948279,0.6707495639133965,0.24039905119268928,0.7037552155771906,0.7889812889812889,0.6351464435146443,0.6313815979232766
mRNA,Exosome,3439.0,0.9962886794979741,0.7142337888921197,0.08067812839173563,0.8040950893631789,0.9969879518072289,0.6737423669671416,0.6743582347851168
mRNA,Cytosol,469.0,0.29060222919712253,0.7217391551723893,0.2540716459874919,0.37025060630557804,0.2981770833333333,0.488272921108742,0.7753100663397751
mRNA,Cytoplasm,1935.0,0.7095630257333505,0.6770975435329676,0.26363584442338805,0.6979343863912515,0.6587155963302752,0.7421188630490956,0.6414767810787424
mRNA,Ribosome,1048.0,0.41885460660497364,0.6449616427203216,0.194508888696958,0.488138030194105,0.39158016147635527,0.6479007633587787,0.589270262474762
mRNA,Membrane,650.0,0.38771868181991986,0.731223068731056,0.28362998511378684,0.3848987108655617,0.4793577981651376,0.32153846153846155,0.8073262186328237
mRNA,Endoplasmic reticulum,399.0,0.15777648992245907,0.5786320429496166,0.06631495317577746,0.18053927315357562,0.1696035242290749,0.19298245614035087,0.7983847706951255
mRNA,Microvesicle,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
mRNA,Mitochondrion,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
