RNA,Count,Compartment,AveragePrecision,ROCAUC,MatthewsCorrCoef,F1Score,Precision,Recall,Accuracy
lncRNA,165.0,Nucleus,0.24870982101707584,0.4996244496244496,0.040974097657870134,0.41509433962264153,0.2619047619047619,1.0,0.26540284360189575
lncRNA,615.0,Exosome,0.984887231005875,0.6660794941282746,0.232510604993835,0.9863672814755412,0.9731012658227848,1.0,0.9731437598736177
lncRNA,46.0,Cytosol,0.10936986525362184,0.5774757425375899,0.1056665737682728,0.15584415584415587,0.1935483870967742,0.13043478260869565,0.8973143759873617
lncRNA,18.0,Cytoplasm,0.029964590187669473,0.45004516711833786,0.0018305523620825307,0.04958677685950413,0.02912621359223301,0.16666666666666666,0.8183254344391785
lncRNA,0.0,Ribosome,NAN,NAN,NAN,NAN,NAN,NAN,NAN
lncRNA,23.0,Membrane,0.04385917208463585,0.5373485388453314,0.044872831665725976,0.08888888888888889,0.050955414012738856,0.34782608695652173,0.740916271721959
lncRNA,0.0,Endoplasmic reticulum,NAN,NAN,NAN,NAN,NAN,NAN,NAN
lncRNA,0.0,Microvesicle,NAN,NAN,NAN,NAN,NAN,NAN,NAN
lncRNA,0.0,Mitochondrion,NAN,NAN,NAN,NAN,NAN,NAN,NAN
lncRNA,NAN,micro,0.8838342448347928,0.9222926410107379,0.37837184094243376,0.5981042654028436,0.5981042654028436,0.5981042654028436,0.5981042654028436
lncRNA,NAN,macro,0.2833581359097756,0.5461146784507968,0.08517093208955728,0.335402901004271,0.29880310830574364,0.6594202898550725,0.7390205371248026
miRNA,95.0,Nucleus,0.9431827597027028,0.9817231434751261,0.9152263436062438,0.9353233830845772,0.8867924528301887,0.9894736842105263,0.9664082687338501
miRNA,321.0,Exosome,0.9871459723698274,0.9320305862361937,0.7382775781518038,0.9335548172757475,1.0,0.8753894080996885,0.896640826873385
miRNA,0.0,Cytosol,NAN,NAN,NAN,NAN,NAN,NAN,NAN
miRNA,47.0,Cytoplasm,0.5759406054866746,0.927909887359199,0.5954735933290126,0.6092715231788078,0.4423076923076923,0.9787234042553191,0.8475452196382429
miRNA,0.0,Ribosome,NAN,NAN,NAN,NAN,NAN,NAN,NAN
miRNA,0.0,Membrane,NAN,NAN,NAN,NAN,NAN,NAN,NAN
miRNA,0.0,Endoplasmic reticulum,NAN,NAN,NAN,NAN,NAN,NAN,NAN
miRNA,294.0,Microvesicle,0.9924931157128815,0.9725696730305025,0.902170314732841,0.9739130434782608,0.99644128113879,0.9523809523809523,0.9612403100775194
miRNA,5.0,Mitochondrion,0.02080934431384379,0.6528795811518324,0.0,0.025510204081632654,0.012919896640826873,1.0,0.012919896640826873
miRNA,NAN,micro,0.9602637545522925,0.9710491751190947,0.2945769137362729,0.5514211886304909,0.5514211886304909,0.5514211886304909,0.5514211886304909
miRNA,NAN,macro,0.7039143595171861,0.8934225742505706,0.6302295659639803,0.5948828779082255,0.5561698600750817,0.9729726184620429,0.7369509043927649
snRNA,2.0,Nucleus,1.0,1.0,1.0,1.0,1.0,1.0,1.0
snRNA,4.0,Exosome,NAN,NAN,0.0,1.0,1.0,1.0,1.0
snRNA,0.0,Cytosol,NAN,NAN,NAN,NAN,NAN,NAN,NAN
snRNA,0.0,Cytoplasm,NAN,NAN,NAN,NAN,NAN,NAN,NAN
snRNA,0.0,Ribosome,NAN,NAN,NAN,NAN,NAN,NAN,NAN
snRNA,0.0,Membrane,NAN,NAN,NAN,NAN,NAN,NAN,NAN
snRNA,0.0,Endoplasmic reticulum,NAN,NAN,NAN,NAN,NAN,NAN,NAN
snRNA,4.0,Microvesicle,NAN,NAN,0.0,1.0,1.0,1.0,1.0
snRNA,0.0,Mitochondrion,NAN,NAN,NAN,NAN,NAN,NAN,NAN
snRNA,NAN,micro,1.0,1.0,1.0,1.0,1.0,1.0,1.0
snRNA,NAN,macro,1.0,NAN,0.3333333333333333,1.0,1.0,1.0,1.0
snoRNA,22.0,Nucleus,0.2280769632258516,0.46253071253071254,0.14335593522900264,0.39999999999999997,0.25301204819277107,0.9545454545454546,0.34375
snoRNA,96.0,Exosome,NAN,NAN,0.0,1.0,1.0,1.0,1.0
snoRNA,0.0,Cytosol,NAN,NAN,NAN,NAN,NAN,NAN,NAN
snoRNA,8.0,Cytoplasm,0.1093288090139247,0.515625,0.0778498944161523,0.14285714285714288,0.16666666666666666,0.125,0.875
snoRNA,0.0,Ribosome,NAN,NAN,NAN,NAN,NAN,NAN,NAN
snoRNA,0.0,Membrane,NAN,NAN,NAN,NAN,NAN,NAN,NAN
snoRNA,0.0,Endoplasmic reticulum,NAN,NAN,NAN,NAN,NAN,NAN,NAN
snoRNA,96.0,Microvesicle,NAN,NAN,0.0,1.0,1.0,1.0,1.0
snoRNA,0.0,Mitochondrion,NAN,NAN,NAN,NAN,NAN,NAN,NAN
snoRNA,NAN,micro,0.9720743447527274,0.9497275052830608,0.18997422430826413,0.6067708333333334,0.6067708333333334,0.6067708333333334,0.6067708333333334
snoRNA,NAN,macro,0.5843514430599441,NAN,0.05530145741128874,0.6384615384615384,0.5840863453815262,0.9886363636363636,0.8046875
mRNA,2390.0,Nucleus,0.8351551075821844,0.7074839842581477,0.286696984682426,0.7974302348925919,0.7664994210729448,0.8309623430962343,0.7089702913181425
mRNA,3439.0,Exosome,0.9961979772692551,0.6727298217920492,0.016884322980069158,0.9645792856075326,0.9923124231242313,0.9383541727246293,0.9316411883472743
mRNA,469.0,Cytosol,0.3198485790473404,0.7353612429608367,0.2898533815667678,0.3967684021543985,0.3426356589147287,0.47121535181236673,0.8061724834150562
mRNA,1935.0,Cytoplasm,0.744467450639266,0.7048903326789051,0.3011516370600506,0.6888484533402652,0.6929916317991632,0.6847545219638242,0.6547447360830689
mRNA,1048.0,Ribosome,0.4805462571808462,0.6935488451792268,0.26215788197695983,0.4844423168980373,0.4860710854947166,0.48282442748091603,0.6893567926160946
mRNA,650.0,Membrane,0.41595961755720195,0.7402023429179978,0.3102233918216138,0.4523970290344362,0.40312876052948254,0.5153846153846153,0.7660801845976348
mRNA,399.0,Endoplasmic reticulum,0.1645974267233928,0.6155479964578983,0.09957179338012649,0.23661971830985915,0.14093959731543623,0.7368421052631579,0.45284107297375253
mRNA,0.0,Microvesicle,NAN,NAN,NAN,NAN,NAN,NAN,NAN
mRNA,0.0,Mitochondrion,NAN,NAN,NAN,NAN,NAN,NAN,NAN
mRNA,NAN,micro,0.8677371365929725,0.8778159359404936,0.4390679470957739,0.7156866784787178,0.7156866784787177,0.7156866784787177,0.7156866784787177
mRNA,NAN,macro,0.565253202285641,0.6956806523207231,0.223791341924002,0.5744407771767316,0.5463683683215291,0.665762505389392,0.7156866784787177
