RNA,Compartment,Count,AveragePrecision,ROCAUC,MatthewsCorrCoef,F1Score,Precision,Recall,Accuracy
lncRNA,Nucleus,165.0,0.23247863020522933,0.44074074074074077,0.0,0.41353383458646625,0.26066350710900477,1.0,0.26066350710900477
lncRNA,Exosome,615.0,0.9711722857062781,0.47073170731707314,0.026496437412192292,0.9267461669505963,0.9731663685152058,0.8845528455284553,0.8641390205371248
lncRNA,Cytosol,46.0,0.08083281791067404,0.5422190948818606,0.05357543732592299,0.14912280701754388,0.08292682926829269,0.7391304347826086,0.38704581358609796
lncRNA,Cytoplasm,18.0,0.02855252021734738,0.4032520325203252,0.00963161274811859,0.05546995377503852,0.028526148969889066,1.0,0.0315955766192733
lncRNA,Ribosome,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
lncRNA,Membrane,23.0,0.03548209687620719,0.45424091233071984,0.03321985214550739,0.07210031347962383,0.03739837398373984,1.0,0.06477093206951026
lncRNA,Endoplasmic reticulum,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
lncRNA,Microvesicle,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
lncRNA,Mitochondrion,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
lncRNA,micro,849.0,0.3236870463615962,0.48785366307710937,0.057340490112099976,0.39415481832543436,0.3941548183254344,0.3941548183254344,0.3941548183254344
lncRNA,macro,849.0,0.3299914576745972,0.4769831138175986,0.030730834907935316,0.3903757805085576,0.3385387697190608,0.905920820077766,0.40205371248025273
miRNA,Nucleus,95.0,0.24441572744944368,0.4928622927180967,0.07891092462625103,0.4025974025974026,0.25340599455040874,0.9789473684210527,0.2868217054263566
miRNA,Exosome,321.0,0.8429158995716396,0.4893325781176248,0.07384970698046923,0.060422960725075525,1.0,0.03115264797507788,0.19638242894056848
miRNA,Cytosol,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
miRNA,Cytoplasm,47.0,0.15181322447931828,0.6076971214017521,0.1322001135058464,0.24403183023872677,0.1393939393939394,0.9787234042553191,0.26356589147286824
miRNA,Ribosome,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
miRNA,Membrane,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
miRNA,Endoplasmic reticulum,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
miRNA,Microvesicle,294.0,0.8056325772719641,0.5598712603320899,0.09893913652813802,0.5580357142857143,0.8116883116883117,0.42517006802721086,0.4883720930232558
miRNA,Mitochondrion,5.0,0.01647441991034887,0.5382198952879581,0.04803628009815555,0.029940119760479042,0.015197568389057751,1.0,0.16279069767441862
miRNA,micro,710.0,0.6312223527528613,0.5102869991568033,-0.34312511722610783,0.32385874246339363,0.32385874246339363,0.32385874246339363,0.32385874246339363
miRNA,macro,710.0,0.6309880680976825,0.5140220437226038,0.14397872057962005,0.3403520258693975,0.6883647687462401,0.4784233614744471,0.4659776055124893
snRNA,Nucleus,2.0,0.5833333333333333,0.5,0.5773502691896258,0.8,0.6666666666666666,1.0,0.75
snRNA,Exosome,4.0,NAN,NAN,0.0,1.0,1.0,1.0,1.0
snRNA,Cytosol,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
snRNA,Cytoplasm,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
snRNA,Ribosome,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
snRNA,Membrane,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
snRNA,Endoplasmic reticulum,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
snRNA,Microvesicle,4.0,NAN,NAN,0.0,1.0,1.0,1.0,1.0
snRNA,Mitochondrion,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
snRNA,micro,0.0,NAN,NAN,NAN,NAN,NAN,NAN,NAN
snRNA,macro,0.0,NAN,NAN,NAN,NAN,NAN,NAN,NAN
snoRNA,Nucleus,22.0,0.26702757909614144,0.507985257985258,0.1463739549180343,0.2857142857142857,0.38461538461538464,0.22727272727272727,0.7395833333333334
snoRNA,Exosome,96.0,NAN,NAN,0.0,1.0,1.0,1.0,1.0
snoRNA,Cytosol,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
snoRNA,Cytoplasm,8.0,0.07125158865135012,0.3451704545454546,0.0,0.15384615384615385,0.08333333333333333,1.0,0.08333333333333333
snoRNA,Ribosome,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
snoRNA,Membrane,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
snoRNA,Endoplasmic reticulum,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
snoRNA,Microvesicle,96.0,NAN,NAN,0.0,1.0,1.0,1.0,1.0
snoRNA,Mitochondrion,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
snoRNA,micro,192.0,1.0,NAN,0.0,1.0,1.0,1.0,1.0
snoRNA,macro,192.0,1.0,NAN,0.07318697745901714,1.0,1.0,1.0,1.4114583333333335
mRNA,Nucleus,2390.0,0.6675524085902208,0.46831757982618694,0.015705680288713594,0.007496876301541024,0.8181818181818182,0.0037656903765690376,0.31266224401499854
mRNA,Exosome,3439.0,0.99191493441241,0.5271154405350392,0.019607427900385593,0.5229318474067723,0.9942950285248574,0.3547542890375109,0.3579463513123738
mRNA,Cytosol,469.0,0.13675917190398656,0.4941748656887107,0.01994746754721209,0.054249547920434,0.17857142857142858,0.031982942430703626,0.8491491202768965
mRNA,Cytoplasm,1935.0,0.548857245702695,0.48088951633034455,0.0075306447971438106,0.05325443786982248,0.5806451612903226,0.027906976744186046,0.44620709547158927
mRNA,Ribosome,1048.0,0.30850558649223836,0.5122649413517035,0.025806137899354577,0.0019065776930409916,1.0,0.0009541984732824427,0.698009806749351
mRNA,Membrane,650.0,0.17980090760824102,0.4740127249392425,0.0,0.3157639057566189,0.18748197288722238,1.0,0.18748197288722238
mRNA,Endoplasmic reticulum,399.0,0.12134993559618129,0.5116184365738335,0.01979337528249217,0.014527845036319612,0.21428571428571427,0.007518796992481203,0.8826074415921547
mRNA,Microvesicle,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
mRNA,Mitochondrion,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
mRNA,micro,8395.0,0.4015754926270936,0.4933055044480308,-0.009471138175027627,0.5479761561388328,0.5479761561388328,0.5479761561388328,0.5479761561388328
mRNA,macro,8395.0,0.40098049076721304,0.49791733148578604,0.01806512228588364,0.15281276668578783,0.5654693270751735,0.2331626528850912,0.6223440053840977
