RNA,Compartment,Count,AveragePrecision,ROCAUC,MatthewsCorrCoef,F1Score,Precision,Recall,Accuracy
lncRNA,Nucleus,165.0,0.2093655282895572,0.3991841491841492,0.0236189456298269,0.41405269761606023,0.2610759493670886,1.0,0.26224328593996843
lncRNA,Exosome,615.0,0.9700194028037937,0.5271002710027101,0.08304469164104616,0.7683168316831683,0.9822784810126582,0.6308943089430894,0.6303317535545023
lncRNA,Cytosol,46.0,0.07471887109830688,0.549218576401748,0.12513302849661814,0.16541353383458646,0.09053497942386832,0.9565217391304348,0.2985781990521327
lncRNA,Cytoplasm,18.0,0.027967249266719035,0.4550135501355014,0.029675022203907556,0.06285714285714286,0.03313253012048193,0.6111111111111112,0.48183254344391785
lncRNA,Ribosome,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
lncRNA,Membrane,23.0,0.06268502544383477,0.6287954383464005,0.09536287373965927,0.1164021164021164,0.06626506024096386,0.4782608695652174,0.7361769352290679
lncRNA,Endoplasmic reticulum,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
lncRNA,Microvesicle,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
lncRNA,Mitochondrion,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
lncRNA,micro,849.0,0.3145641692891241,0.48258445327661714,0.07968047911266718,0.48183254344391785,0.48183254344391785,0.48183254344391785,0.48183254344391785
lncRNA,macro,849.0,0.3291972069088731,0.526074608733752,0.0892086404277645,0.36604629488398277,0.35003861751114473,0.7664192294096853,0.6022906793048972
miRNA,Nucleus,95.0,0.29494158706714135,0.6245133381398702,0.23773696126362934,0.4497607655502392,0.29102167182662536,0.9894736842105263,0.40568475452196384
miRNA,Exosome,321.0,0.8228328079778386,0.4871613329557255,0.07042725133604812,0.8943560057887119,0.8351351351351352,0.9626168224299065,0.8113695090439277
miRNA,Cytosol,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
miRNA,Cytoplasm,47.0,0.08862889650305035,0.3536921151439299,0.0720309383493144,0.2238095238095238,0.1260053619302949,1.0,0.15762273901808785
miRNA,Ribosome,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
miRNA,Membrane,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
miRNA,Endoplasmic reticulum,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
miRNA,Microvesicle,294.0,0.7959848396076341,0.543010752688172,0.13887809546898464,0.4891041162227603,0.8487394957983193,0.3435374149659864,0.45478036175710596
miRNA,Mitochondrion,5.0,0.008960237031808815,0.16596858638743456,0.028758520974194922,0.02710027100271003,0.013736263736263736,1.0,0.07235142118863049
miRNA,micro,710.0,0.6178953884809746,0.5218325473907749,0.028628630575960972,0.5572782084409992,0.5572782084409992,0.5572782084409992,0.5572782084409992
miRNA,macro,710.0,0.6379197448842048,0.5515618079279226,0.1826105891307238,0.6110736291872371,0.6582987675866933,0.7652093072021398,0.6339362618432386
snRNA,Nucleus,2.0,0.41666666666666663,0.0,0.0,0.6666666666666666,0.5,1.0,0.5
snRNA,Exosome,4.0,NAN,NAN,0.0,1.0,1.0,1.0,1.0
snRNA,Cytosol,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
snRNA,Cytoplasm,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
snRNA,Ribosome,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
snRNA,Membrane,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
snRNA,Endoplasmic reticulum,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
snRNA,Microvesicle,4.0,NAN,NAN,0.0,1.0,1.0,1.0,1.0
snRNA,Mitochondrion,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
snRNA,micro,0.0,NAN,NAN,NAN,NAN,NAN,NAN,NAN
snRNA,macro,0.0,NAN,NAN,NAN,NAN,NAN,NAN,NAN
snoRNA,Nucleus,22.0,0.31392608872755823,0.5147420147420148,0.19428971226996772,0.26666666666666666,0.5,0.18181818181818182,0.7708333333333334
snoRNA,Exosome,96.0,NAN,NAN,0.0,1.0,1.0,1.0,1.0
snoRNA,Cytosol,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
snoRNA,Cytoplasm,8.0,0.07136812328302575,0.38778409090909094,0.09697622757528539,0.16842105263157897,0.09195402298850575,1.0,0.17708333333333334
snoRNA,Ribosome,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
snoRNA,Membrane,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
snoRNA,Endoplasmic reticulum,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
snoRNA,Microvesicle,96.0,NAN,NAN,0.0,1.0,1.0,1.0,1.0
snoRNA,Mitochondrion,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
snoRNA,micro,192.0,1.0,NAN,0.0,1.0,1.0,1.0,1.0
snoRNA,macro,192.0,1.0,NAN,0.14563296992262656,1.0,1.0,1.0,1.4739583333333335
mRNA,Nucleus,2390.0,0.6730520738418111,0.48221932145312996,0.017019760687663903,0.7579146919431281,0.692894280762565,0.8364016736401674,0.6316700317277185
mRNA,Exosome,3439.0,0.9921838803633584,0.47797324803722013,0.022547677566310955,0.9909752547307132,0.9921305741766249,0.9898226228554813,0.9821171041246034
mRNA,Cytosol,469.0,0.1450299722140524,0.4833161695572457,0.04273632265482099,0.028513238289205704,0.3181818181818182,0.014925373134328358,0.8624170752812229
mRNA,Cytoplasm,1935.0,0.5436047498314127,0.4617437812455725,0.030686638884047882,0.007205352547606793,0.875,0.0036175710594315244,0.44361119123161236
mRNA,Ribosome,1048.0,0.2946994978389633,0.49899807188005896,0.03381916144562251,0.46533333333333327,0.3033024333719583,0.9990458015267175,0.3060282665128353
mRNA,Membrane,650.0,0.2062698100212642,0.5299877119685427,0.049733789788013336,0.14830970556161396,0.2546816479400749,0.10461538461538461,0.7747331987308913
mRNA,Endoplasmic reticulum,399.0,0.11567006042078319,0.4815640796907523,0.02896741270619696,0.12947658402203857,0.1437308868501529,0.11779448621553884,0.8177098355927315
mRNA,Microvesicle,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
mRNA,Mitochondrion,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
mRNA,micro,8395.0,0.41210211238005323,0.5057355659999616,0.4666722804550402,0.7291125853283339,0.7291125853283338,0.7291125853283338,0.7291125853283338
mRNA,macro,8395.0,0.4044842157833721,0.49234310043115825,0.03758512728877942,0.42008713464667213,0.4508202735471991,0.510434223664603,0.803047783866936
